pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
1,20,0.00514079,3.18586,-0.130527,594.46,268.314,-0.175537,-0.0940247
1,21,0.00514079,3.18586,-0.130527,593.258,423.432,-0.263306,-0.0319214
1,22,0.00514079,3.18586,-0.130527,592.313,579.546,-0.171875,0.14624
1,23,0.00514079,3.18586,-0.130527,591.153,736.508,-0.374756,0.331482
1,24,0.00514079,3.18586,-0.130527,516.48,192.41,-0.273071,-0.0508728
1,25,0.00514079,3.18586,-0.130527,515.14,346.938,-0.263733,-0.0144958
1,26,0.00514079,3.18586,-0.130527,513.789,502.355,-0.349121,0.0160217
1,27,0.00514079,3.18586,-0.130527,512.588,658.646,-0.368408,0.0618896
2,0,0.00504461,3.18424,-0.131527,786.515,180.562,0.0932007,-0.587341
2,1,0.00504461,3.18424,-0.131527,786.082,336.068,0.338257,-0.451691
2,2,0.00504461,3.18424,-0.131527,785.342,492.595,0.214966,-0.206818
2,3,0.00504461,3.18424,-0.131527,784.752,649.86,0.17981,-0.101318
2,4,0.00504461,3.18424,-0.131527,707.033,259.523,0.142761,-0.287292
2,5,0.00504461,3.18424,-0.131527,706.198,415.154,0.154907,-0.383759
2,6,0.00504461,3.18424,-0.131527,705.397,572.141,0.13208,-0.0177002
2,7,0.00504461,3.18424,-0.131527,704.677,729.829,0.120789,0.192749
2,8,0.00504461,3.18424,-0.131527,628.45,183.273,0.0656738,-0.196945
2,9,0.00504461,3.18424,-0.131527,627.358,338.438,0.0557861,-0.193604
2,10,0.00504461,3.18424,-0.131527,626.371,494.656,0.0772095,-0.0473328
2,11,0.00504461,3.18424,-0.131527,625.269,651.699,-0.0925293,0.0511475
2,12,0.00504461,3.18424,-0.131527,548.912,261.98,0.000610352,-0.111511
2,13,0.00504461,3.18424,-0.131527,547.371,417.649,-0.29718,0.0460815
2,14,0.00504461,3.18424,-0.131527,546.328,574.03,-0.179688,0.0261841
2,15,0.00504461,3.18424,-0.131527,545.28,731.386,-0.148621,0.128662
2,16,0.00504461,3.18424,-0.131527,470.687,186.038,-0.193604,0.111816
2,17,0.00504461,3.18424,-0.131527,469.251,340.821,-0.147339,-0.0460815
2,18,0.00504461,3.18424,-0.131527,467.75,496.671,-0.252014,-0.0418396
2,19,0.00504461,3.18424,-0.131527,466.495,653.468,-0.200165,0.0393677
2,20,0.00504461,3.18424,-0.131527,391.388,264.46,-0.102203,-0.0429382
2,21,0.00504461,3.18424,-0.131527,389.661,419.734,-0.195129,-0.0490723
2,22,0.00504461,3.18424,-0.131527,388.21,576.075,-0.104828,0.12439
2,23,0.00504461,3.18424,-0.131527,386.568,733.259,-0.302277,0.292664
2,24,0.00504461,3.18424,-0.131527,313.754,188.441,-0.199768,-0.0764923
2,25,0.00504461,3.18424,-0.131527,311.888,343.233,-0.187744,0.00949097
