pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
6,4,-0.0211205,3.34394,-0.144175,1046.97,505.357,0.483887,-0.0877686
6,5,-0.0211205,3.34394,-0.144175,1043.44,662.586,0.378906,-0.0618896
6,6,-0.0211205,3.34394,-0.144175,1039.83,820.862,0.161499,0.239685
6,7,-0.0211205,3.34394,-0.144175,1036.27,979.861,-0.0219727,0.537659
6,8,-0.0211205,3.34394,-0.144175,970.835,428.5,0.5401,0.0125732
6,9,-0.0211205,3.34394,-0.144175,967.032,584.977,0.343689,0.0377808
6,10,-0.0211205,3.34394,-0.144175,963.286,742.444,0.172058,0.262329
6,11,-0.0211205,3.34394,-0.144175,959.403,900.511,-0.171326,0.341309
6,12,-0.0211205,3.34394,-0.144175,891.238,507.944,0.387512,0.14917
6,13,-0.0211205,3.34394,-0.144175,887.026,664.614,-0.0689697,0.318481
6,14,-0.0211205,3.34394,-0.144175,883.201,821.936,-0.178284,0.37561
6,15,-0.0211205,3.34394,-0.144175,879.431,980.067,-0.273438,0.522583
6,16,-0.0211205,3.34394,-0.144175,815.787,431.482,0.229553,0.260529
6,17,-0.0211205,3.34394,-0.144175,811.719,587.199,0.104309,0.228943
6,18,-0.0211205,3.34394,-0.144175,807.589,743.724,-0.129578,0.222046
6,19,-0.0211205,3.34394,-0.144175,803.608,901.151,-0.262146,0.378906
6,20,-0.0211205,3.34394,-0.144175,736.879,510.38,0.200684,0.168152
6,21,-0.0211205,3.34394,-0.144175,732.555,666.233,-0.0421753,0.231934
6,22,-0.0211205,3.34394,-0.144175,728.443,822.995,-0.127197,0.448792
6,23,-0.0211205,3.34394,-0.144175,724.192,980.459,-0.406494,0.654907
6,24,-0.0211205,3.34394,-0.144175,662.506,434.187,0.213379,0.161224
6,25,-0.0211205,3.34394,-0.144175,658.057,589.325,0.0358276,0.263306
6,26,-0.0211205,3.34394,-0.144175,653.618,745.221,-0.192139,0.34668
6,27,-0.0211205,3.34394,-0.144175,649.339,901.789,-0.322876,0.372559
7,0,-0.0211479,3.34244,-0.148556,1156.77,705.534,0.484619,-0.529358
7,1,-0.0211479,3.34244,-0.148556,1153.7,863.651,0.58667,-0.340088
7,2,-0.0211479,3.34244,-0.148556,1150.29,1022.59,0.331055,-0.0584717
7,3,-0.0211479,3.34244,-0.148556,1146.92,1182.11,0.0987549,0.120361
7,4,-0.0211479,3.34244,-0.148556,1076.65,785.273,0.440186,-0.190735
7,5,-0.0211479,3.34244,-0.148556,1073.23,943.275,0.341675,-0.140381
7,6,-0.0211479,3.34244,-0.148556,1069.73,1102.27,0.14624,0.197144
7,7,-0.0211479,3.34244,-0.148556,1066.28,1261.9,-0.0270996,0.515991
7,8,-0.0211479,3.34244,-0.148556,1000.35,707.343,0.520325,-0.140686
7,9,-0.0211479,3.34244,-0.148556,996.641,864.697,0.309509,-0.0213013
